Turn,Algorithm,Depth,Nodes_Visited,Time_Seconds,Score,Move
1,Human,-,-,-,-,"(1, 1)"
2,alpha_beta,2,333,0.3405,-1175.5,"(3, 3)"
3,Human,-,-,-,-,"(2, 1)"
4,alpha_beta,2,1093,1.1264,-1167.5,"(4, 1)"
5,Human,-,-,-,-,"(3, 2)"
6,alpha_beta,2,1286,1.3105,-509.49999999999955,"(4, 3)"
7,Human,-,-,-,-,"(2, 3)"
8,alpha_beta,2,1428,1.4312,-2120.0,"(2, 2)"
9,Human,-,-,-,-,"(3, 4)"
10,alpha_beta,2,1659,1.6526,-3130.4999999999995,"(4, 5)"
11,Human,-,-,-,-,"(4, 4)"
12,alpha_beta,2,1986,1.9378,-11641.499999999998,"(5, 4)"
13,Human,-,-,-,-,"(2, 4)"
14,alpha_beta,2,2323,2.1888,-11608.999999999998,"(1, 4)"
15,Human,-,-,-,-,"(2, 5)"
16,alpha_beta,2,2313,2.1550,494.0,"(2, 6)"
17,Human,-,-,-,-,"(3, 5)"
18,alpha_beta,2,2560,2.3876,-13228.999999999998,"(1, 3)"
19,Human,-,-,-,-,"(1, 2)"
20,alpha_beta,2,2366,2.1620,-14199.999999999998,"(0, 1)"
21,Human,-,-,-,-,"(1, 5)"
22,alpha_beta,2,2180,1.9499,-14264.999999999998,"(0, 5)"
23,Human,-,-,-,-,"(8, 8)"
24,alpha_beta,2,2531,2.2980,15571.5,"(3, 6)"
25,Human,-,-,-,-,"(8, 7)"
26,alpha_beta,2,49,0.0451,1000000,"(2, 7)"
